"E/V","I/uA"
4.9950000E-01,8.0916900E+01
4.9900000E-01,3.1148400E+01
4.9850000E-01,2.0727900E+01
4.9790000E-01,1.7190000E+01
4.9740000E-01,1.4439100E+01
4.9690000E-01,1.3401400E+01
4.9640000E-01,1.1885700E+01
4.9590000E-01,1.1440800E+01
4.9540000E-01,1.0435400E+01
4.9490000E-01,1.0196300E+01
4.9440000E-01,9.4411000E+00
4.9380000E-01,9.2610000E+00
4.9330000E-01,8.6772000E+00
4.9280000E-01,8.6153000E+00
4.9230000E-01,8.0295000E+00
4.9180000E-01,7.8706000E+00
4.9130000E-01,7.4766000E+00
4.9080000E-01,7.0049000E+00
4.9020000E-01,7.0368000E+00
4.8970000E-01,6.5518000E+00
4.8920000E-01,6.6508000E+00
4.8870000E-01,6.2768000E+00
4.8820000E-01,6.2571000E+00
4.8770000E-01,5.9912000E+00
4.8720000E-01,6.0417000E+00
4.8660000E-01,5.7864000E+00
4.8610000E-01,5.7458000E+00
4.8560000E-01,5.4879000E+00
4.8510000E-01,5.4709000E+00
4.8460000E-01,5.2491000E+00
4.8410000E-01,5.2508000E+00
4.8360000E-01,5.1367000E+00
4.8310000E-01,5.0483000E+00
4.8250000E-01,4.8793000E+00
4.8200000E-01,4.7691000E+00
4.8150000E-01,4.6820000E+00
4.8100000E-01,4.2421000E+00
4.8050000E-01,4.5638000E+00
4.8000000E-01,3.7970000E+00
4.7950000E-01,4.3807000E+00
4.7890000E-01,3.7249000E+00
4.7840000E-01,4.2469000E+00
4.7790000E-01,3.6180000E+00
4.7740000E-01,4.0888000E+00
4.7690000E-01,3.6217000E+00
4.7640000E-01,3.9148000E+00
4.7590000E-01,3.4653000E+00
4.7540000E-01,3.7377000E+00
4.7480000E-01,3.4204000E+00
4.7430000E-01,3.6622000E+00
4.7380000E-01,3.3211000E+00
4.7330000E-01,3.5584000E+00
4.7280000E-01,3.2128000E+00
4.7230000E-01,3.3802000E+00
4.7180000E-01,3.1186000E+00
4.7120000E-01,2.8867000E+00
4.7070000E-01,3.0304000E+00
4.7020000E-01,2.6237000E+00
4.6970000E-01,2.8994000E+00
4.6920000E-01,2.4904000E+00
4.6870000E-01,2.9113000E+00
4.6820000E-01,2.6151000E+00
4.6760000E-01,2.7255000E+00
4.6710000E-01,2.4896000E+00
4.6660000E-01,2.6943000E+00
4.6610000E-01,2.4968000E+00
4.6560000E-01,2.6336000E+00
4.6510000E-01,2.5437000E+00
4.6460000E-01,2.4925000E+00
4.6410000E-01,2.4630000E+00
4.6350000E-01,2.3623000E+00
4.6300000E-01,2.2983000E+00
4.6250000E-01,2.3198000E+00
4.6200000E-01,2.2771000E+00
4.6150000E-01,1.9770000E+00
4.6100000E-01,2.2422000E+00
4.6050000E-01,1.6099000E+00
4.5990000E-01,2.2394000E+00
4.5940000E-01,1.5063000E+00
4.5890000E-01,2.1211000E+00
4.5840000E-01,1.5903000E+00
4.5790000E-01,2.0065000E+00
4.5740000E-01,1.5918000E+00
4.5690000E-01,2.0065000E+00
4.5640000E-01,1.6388000E+00
4.5580000E-01,1.9639000E+00
4.5530000E-01,1.5955000E+00
4.5480000E-01,1.9533000E+00
4.5430000E-01,1.5304000E+00
4.5380000E-01,1.8101000E+00
4.5330000E-01,1.6134000E+00
4.5280000E-01,1.7767000E+00
4.5220000E-01,1.6110000E+00
4.5170000E-01,1.6361000E+00
4.5120000E-01,1.5009000E+00
4.5070000E-01,1.1464000E+00
4.5020000E-01,1.4088000E+00
4.4970000E-01,1.1202000E+00
4.4920000E-01,1.4246000E+00
4.4860000E-01,1.0747000E+00
4.4810000E-01,1.4239000E+00
4.4760000E-01,1.1549000E+00
4.4710000E-01,1.3984000E+00
4.4660000E-01,1.2233000E+00
4.4610000E-01,1.3309000E+00
4.4560000E-01,1.2583000E+00
4.4510000E-01,1.2116000E+00
4.4450000E-01,1.1475000E+00
4.4400000E-01,1.2251000E+00
4.4350000E-01,1.1556000E+00
4.4300000E-01,1.1846000E+00
4.4250000E-01,1.1702000E+00
4.4200000E-01,1.0876000E+00
4.4150000E-01,1.1831000E+00
4.4090000E-01,6.5740000E-01
4.4040000E-01,1.1211000E+00
4.3990000E-01,4.7670000E-01
4.3940000E-01,1.1097000E+00
4.3890000E-01,5.2350000E-01
4.3840000E-01,1.0645000E+00
4.3790000E-01,6.5140000E-01
4.3740000E-01,1.0762000E+00
4.3680000E-01,6.3890000E-01
4.3630000E-01,9.9210000E-01
4.3580000E-01,6.9980000E-01
4.3530000E-01,9.5470000E-01
4.3480000E-01,6.7110000E-01
4.3430000E-01,1.0617000E+00
4.3380000E-01,6.4720000E-01
4.3320000E-01,9.9190000E-01
4.3270000E-01,7.4170000E-01
4.3220000E-01,7.9330000E-01
4.3170000E-01,7.0860000E-01
4.3120000E-01,5.6820000E-01
4.3070000E-01,6.2460000E-01
4.3020000E-01,3.8690000E-01
4.2960000E-01,6.6170000E-01
4.2910000E-01,2.7930000E-01
4.2860000E-01,6.8200000E-01
4.2810000E-01,3.8480000E-01
4.2760000E-01,5.2620000E-01
4.2710000E-01,5.8900000E-01
4.2660000E-01,5.4750000E-01
4.2610000E-01,5.2070000E-01
4.2550000E-01,6.5170000E-01
4.2500000E-01,4.7370000E-01
4.2450000E-01,6.1150000E-01
4.2400000E-01,6.3050000E-01
4.2350000E-01,4.4070000E-01
4.2300000E-01,5.9830000E-01
4.2250000E-01,5.3790000E-01
4.2190000E-01,4.7150000E-01
4.2140000E-01,3.0840000E-01
4.2090000E-01,5.5180000E-01
4.2040000E-01,-1.3430000E-01
4.1990000E-01,6.5040000E-01
4.1940000E-01,-6.7900000E-02
4.1890000E-01,5.1310000E-01
4.1840000E-01,9.7100000E-02
4.1780000E-01,4.9950000E-01
4.1730000E-01,1.0430000E-01
4.1680000E-01,6.3280000E-01
4.1630000E-01,1.0320000E-01
4.1580000E-01,5.8490000E-01
4.1530000E-01,2.5010000E-01
4.1480000E-01,4.1480000E-01
4.1420000E-01,2.8400000E-01
4.1370000E-01,4.7730000E-01
4.1320000E-01,1.3010000E-01
4.1270000E-01,5.2560000E-01
4.1220000E-01,1.9160000E-01
4.1170000E-01,2.1310000E-01
4.1120000E-01,2.5380000E-01
4.1060000E-01,-8.8700000E-02
4.1010000E-01,2.2380000E-01
4.0960000E-01,-9.9500000E-02
4.0910000E-01,2.3800000E-01
4.0860000E-01,-3.7200000E-02
4.0810000E-01,2.2390000E-01
4.0760000E-01,3.4900000E-02
4.0710000E-01,1.9860000E-01
4.0650000E-01,1.6430000E-01
4.0600000E-01,2.0890000E-01
4.0550000E-01,1.4710000E-01
4.0500000E-01,1.7980000E-01
4.0450000E-01,2.2230000E-01
4.0400000E-01,1.1250000E-01
4.0350000E-01,2.1650000E-01
4.0290000E-01,9.2800000E-02
4.0240000E-01,2.2440000E-01
